event,key,timestamp,label
keyup,l,1753192300.1620784,bot
keydown,l,1753192300.3644443,bot
keyup,l,1753192300.3646011,bot
keydown,o,1753192300.5672069,bot
keyup,o,1753192300.5676405,bot
keydown,Key.space,1753192300.7701411,bot
keyup,Key.space,1753192300.7702932,bot
keydown,w,1753192300.9725537,bot
keyup,w,1753192300.9727445,bot
keydown,o,1753192301.1754177,bot
keyup,o,1753192301.1759458,bot
keydown,r,1753192301.3785105,bot
keyup,r,1753192301.3787124,bot
keydown,l,1753192301.5813496,bot
keyup,l,1753192301.581468,bot
keydown,d,1753192301.7839117,bot
keyup,d,1753192301.7840483,bot
keydown,Key.space,1753192301.9865336,bot
keyup,Key.space,1753192301.9867105,bot
keydown,h,1753192302.189208,bot
keyup,h,1753192302.1893399,bot
keydown,e,1753192302.3918853,bot
keyup,e,1753192302.3919845,bot
keydown,l,1753192302.5945377,bot
keyup,l,1753192302.5947323,bot
keydown,l,1753192302.7971306,bot
keyup,l,1753192302.7972822,bot
